species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Abeillia abeillei,Abeillia abeillei,CAPRIMULGIFORMES,Trochilidae,2.7,0.855828091,6.764835079,Abeillia abeillei,1,Abeillia abeillei,Listed,1,1
Abroscopus albogularis,Abroscopus albogularis,PASSERIFORMES,Scotocercidae,4.84,0.81566177,6.107698629,Abroscopus albogularis,1,Abroscopus albogularis,Not Listed,0,0
Abroscopus schisticeps,Abroscopus schisticeps,PASSERIFORMES,Scotocercidae,4.7,0.780159508,5.957459914,Abroscopus schisticeps,1,Abroscopus schisticeps,Not Listed,0,0
Abroscopus superciliaris,Abroscopus superciliaris,PASSERIFORMES,Scotocercidae,6.48,0.898025387,6.286717288,Abroscopus superciliaris,1,Abroscopus superciliaris,Not Listed,0,0
Aburria aburri,Aburria aburri,GALLIFORMES,Cracidae,1405.08,2.715930502,20.65698459,Aburria aburri,1,Aburria aburri,Not Listed,0,0
Acanthagenys rufogularis,Acanthagenys rufogularis,PASSERIFORMES,Meliphagidae,47.8,1.41109303,13.57064622,Acanthagenys rufogularis,1,Acanthagenys rufogularis,Not Listed,0,0
Acanthidops bairdi,Acanthidops bairdii,PASSERIFORMES,Thraupidae,16,1.028734007,8.25154653,Acanthidops bairdi,1,Acanthidops bairdi,Not Listed,0,0
Acanthisitta chloris,Acanthisitta chloris,PASSERIFORMES,Acanthisittidae,6.91,0.874921555,6.563452551,Acanthisitta chloris,0,Acanthisitta chloris,Not Listed,0,0
Acanthiza apicalis,Acanthiza apicalis,PASSERIFORMES,Acanthizidae,7.62,1.028145284,16.90136986,Acanthiza apicalis,0,Acanthiza apicalis,Not Listed,0,0
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,PASSERIFORMES,Acanthizidae,9.29,0.989406932,13.10410959,Acanthiza chrysorrhoa,1,Acanthiza chrysorrhoa,Not Listed,0,0
Acanthiza ewingii,Acanthiza ewingii,PASSERIFORMES,Acanthizidae,6.9,0.933108524,11.93437065,Acanthiza ewingii,1,Acanthiza ewingii,Not Listed,0,0
Acanthiza inornata,Acanthiza inornata,PASSERIFORMES,Acanthizidae,7,0.900217208,11.25164176,Acanthiza inornata,0,Acanthiza inornata,Not Listed,0,0
Acanthiza iredalei,Acanthiza iredalei,PASSERIFORMES,Acanthizidae,6.04,0.944844332,11.46645186,Acanthiza iredalei,1,Acanthiza iredalei,Not Listed,0,0
Acanthiza katherina,Acanthiza katherina,PASSERIFORMES,Acanthizidae,7.2,1.056866619,15,Acanthiza katherina,0,Acanthiza katherina,Not Listed,0,0
Acanthiza lineata,Acanthiza lineata,PASSERIFORMES,Acanthizidae,6.85,0.96855825,23.5,Acanthiza lineata,0,Acanthiza lineata,Not Listed,0,0
Acanthiza murina,Acanthiza murina,PASSERIFORMES,Acanthizidae,8.4,1.089449557,11.68214922,Acanthiza murina,0,Acanthiza murina,Not Listed,0,0
Acanthiza nana,Acanthiza nana,PASSERIFORMES,Acanthizidae,6.19,0.913362235,14.2,Acanthiza nana,0,Acanthiza nana,Not Listed,0,0
Acanthiza pusilla,Acanthiza pusilla,PASSERIFORMES,Acanthizidae,7.62,1,17.64109589,Acanthiza pusilla,0,Acanthiza pusilla,Not Listed,0,0
Acanthiza reguloides,Acanthiza reguloides,PASSERIFORMES,Acanthizidae,7.7,0.953490653,11.63134294,Acanthiza reguloides,1,Acanthiza reguloides,Not Listed,0,0
Acanthiza robustirostris,Acanthiza robustirostris,PASSERIFORMES,Acanthizidae,6.1,0.984060058,11.55855723,Acanthiza robustirostris,0,Acanthiza robustirostris,Not Listed,0,0
Acanthiza uropygialis,Acanthiza uropygialis,PASSERIFORMES,Acanthizidae,6.4,0.955680776,12.63143483,Acanthiza uropygialis,0,Acanthiza uropygialis,Not Listed,0,0
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,PASSERIFORMES,Meliphagidae,9.72,1.14493495,9.856740676,Acanthorhynchus superciliosus,0,Acanthorhynchus superciliosus,Not Listed,0,0
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,PASSERIFORMES,Meliphagidae,10.44,1.045701812,15.5,Acanthorhynchus tenuirostris,1,Acanthorhynchus tenuirostris,Not Listed,0,0
Acanthornis magna,Acanthornis magna,PASSERIFORMES,Acanthizidae,10.18,0.981589819,7.728109163,Acanthornis magna,0,Acanthornis magna,Not Listed,0,0
Accipiter albogularis,Accipiter albogularis,ACCIPITRIFORMES,Accipitridae,248.75,1.793707542,12.87005068,Accipiter albogularis,0,Accipiter albogularis,Listed,0,0
Accipiter badius,Accipiter badius,ACCIPITRIFORMES,Accipitridae,131.15,1.629589515,11.41500201,Accipiter badius,1,Accipiter badius,Listed,1,1
Accipiter brachyurus,Accipiter brachyurus,ACCIPITRIFORMES,Accipitridae,142,1.609966198,11.49652641,Accipiter brachyurus,1,Accipiter brachyurus,Listed,1,1
Accipiter brevipes,Accipiter brevipes,ACCIPITRIFORMES,Accipitridae,186.48,1.616431665,13.33733342,Accipiter brevipes,1,Accipiter brevipes,Listed,1,0
Accipiter butleri,Accipiter butleri,ACCIPITRIFORMES,Accipitridae,332.94,1.897391726,13.60850688,Accipiter butleri,1,Accipiter butleri,Listed,0,0
Accipiter castanilius,Accipiter castanilius,ACCIPITRIFORMES,Accipitridae,157.51,1.576501344,11.58359309,Accipiter castanilius,1,Accipiter castanilius,Listed,1,0
Accipiter cirrocephalus,Accipiter cirrocephalus,ACCIPITRIFORMES,Accipitridae,165.73,1.641654502,12.32554007,Accipiter cirrocephalus,1,Accipiter cirrocephalus,Listed,1,0
Accipiter collaris,Accipiter collaris,ACCIPITRIFORMES,Accipitridae,332.94,1.897391726,13.40420036,Accipiter collaris,1,Accipiter collaris,Listed,1,1
Accipiter cooperii,Accipiter cooperii,ACCIPITRIFORMES,Accipitridae,429.67,2,20.33,Accipiter cooperii,1,Accipiter cooperii,Listed,1,1
Accipiter erythrauchen,Accipiter erythrauchen,ACCIPITRIFORMES,Accipitridae,156,1.639414623,11.57860476,Accipiter erythrauchen,0,Accipiter erythrauchen,Listed,0,0
Accipiter erythropus,Accipiter erythropus,ACCIPITRIFORMES,Accipitridae,111.2,1.70448694,11.44822129,Accipiter erythropus,1,Accipiter erythropus,Listed,1,0
Accipiter fasciatus,Accipiter fasciatus,ACCIPITRIFORMES,Accipitridae,358.66,2.065170406,15.14615377,Accipiter fasciatus,1,Accipiter fasciatus,Listed,1,0
Accipiter francesiae,Accipiter francesiae,ACCIPITRIFORMES,Accipitridae,136.82,1.561008696,11.14770595,Accipiter francesiae,1,Accipiter francesiae,Listed,1,1
Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,866.04,3,22,Accipiter gentilis,1,Accipiter gentilis,Listed,1,1
Accipiter griseiceps,Accipiter griseiceps,ACCIPITRIFORMES,Accipitridae,251.76,1.797871305,12.69666765,Accipiter griseiceps,0,Accipiter griseiceps,Listed,1,1
Accipiter gularis,Accipiter gularis,ACCIPITRIFORMES,Accipitridae,120.66,1.54216538,12.77403336,Accipiter gularis,1,Accipiter gularis,Listed,1,0
Accipiter gundlachi,Accipiter gundlachi,ACCIPITRIFORMES,Accipitridae,675,2.164802417,16.05410456,Accipiter gundlachi,1,Accipiter gundlachi,Listed,1,0
Accipiter haplochrous,Accipiter haplochrous,ACCIPITRIFORMES,Accipitridae,198.41,1.768046437,12.99592532,Accipiter haplochrous,0,Accipiter haplochrous,Listed,0,0
Accipiter henicogrammus,Accipiter henicogrammus,ACCIPITRIFORMES,Accipitridae,332.94,1.897391726,13.35028148,Accipiter henicogrammus,0,Accipiter henicogrammus,Listed,0,0
Accipiter henstii,Accipiter henstii,ACCIPITRIFORMES,Accipitridae,1050,2.652543015,18.72414222,Accipiter henstii,0,Accipiter henstii,Listed,0,0
Accipiter imitator,Accipiter imitator,ACCIPITRIFORMES,Accipitridae,222.49,1.755542623,12.56372112,Accipiter imitator,1,Accipiter imitator,Listed,0,0
Accipiter luteoschistaceus,Accipiter luteoschistaceus,ACCIPITRIFORMES,Accipitridae,214,1.742425345,12.42598483,Accipiter luteoschistaceus,1,Accipiter luteoschistaceus,Listed,0,0
Accipiter madagascariensis,Accipiter madagascariensis,ACCIPITRIFORMES,Accipitridae,180.41,1.735233629,12.66166994,Accipiter madagascariensis,0,Accipiter madagascariensis,Listed,1,0
Accipiter melanochlamys,Accipiter melanochlamys,ACCIPITRIFORMES,Accipitridae,265,1.815722682,12.93114819,Accipiter melanochlamys,1,Accipiter melanochlamys,Listed,1,0
Accipiter melanoleucus,Accipiter melanoleucus,ACCIPITRIFORMES,Accipitridae,698.99,3,15.59551705,Accipiter melanoleucus,1,Accipiter melanoleucus,Listed,1,1
Accipiter meyerianus,Accipiter meyerianus,ACCIPITRIFORMES,Accipitridae,763.54,2.305567121,15.83134492,Accipiter meyerianus,0,Accipiter meyerianus,Listed,0,0
Accipiter minullus,Accipiter minullus,ACCIPITRIFORMES,Accipitridae,87.43,1.625625867,11.19942752,Accipiter minullus,1,Accipiter minullus,Listed,1,1
Accipiter nanus,Accipiter nanus,ACCIPITRIFORMES,Accipitridae,332.94,1.72008034,12.03390368,Accipiter nanus,0,Accipiter nanus,Listed,0,0
Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,220.79,2,20.25,Accipiter nisus,1,Accipiter nisus,Listed,1,1
Accipiter ovampensis,Accipiter ovampensis,ACCIPITRIFORMES,Accipitridae,195,1.762019222,12.34350612,Accipiter ovampensis,1,Accipiter ovampensis,Listed,1,1
Accipiter poliocephalus,Accipiter poliocephalus,ACCIPITRIFORMES,Accipitridae,214.76,2.096672639,13.80604967,Accipiter poliocephalus,1,Accipiter poliocephalus,Listed,1,0
Accipiter poliogaster,Accipiter poliogaster,ACCIPITRIFORMES,Accipitridae,1369.41,2.492015302,17.75188896,Accipiter poliogaster,1,Accipiter poliogaster,Listed,1,0
Accipiter princeps,Accipiter princeps,ACCIPITRIFORMES,Accipitridae,332.94,1.674018057,13.09386831,Accipiter princeps,1,Accipiter princeps,Listed,0,0
Accipiter rhodogaster,Accipiter rhodogaster,ACCIPITRIFORMES,Accipitridae,172.71,1.671890817,11.82389842,Accipiter rhodogaster,0,Accipiter rhodogaster,Listed,0,0
Accipiter rufitorques,Accipiter rufitorques,ACCIPITRIFORMES,Accipitridae,209,1.856768148,13.28215354,Accipiter rufitorques,0,Accipiter rufitorques,Listed,0,0
Accipiter rufiventris,Accipiter rufiventris,ACCIPITRIFORMES,Accipitridae,198,1.767326178,12.30289894,Accipiter rufiventris,1,Accipiter rufiventris,Listed,1,1
Accipiter soloensis,Accipiter soloensis,ACCIPITRIFORMES,Accipitridae,164.77,2,12.38137158,Accipiter soloensis,1,Accipiter soloensis,Listed,1,1
Accipiter superciliosus,Accipiter superciliosus,ACCIPITRIFORMES,Accipitridae,99.51,1.667600099,11.32252855,Accipiter superciliosus,1,Accipiter superciliosus,Listed,1,0
Accipiter tachiro,Accipiter tachiro,ACCIPITRIFORMES,Accipitridae,381,2.089897358,14.65855057,Accipiter tachiro,1,Accipiter tachiro,Listed,1,1
Accipiter toussenelii,Accipiter toussenelii,ACCIPITRIFORMES,Accipitridae,249.29,1.722393019,12.72437232,Accipiter toussenelii,1,Accipiter toussenelii,Listed,1,0
Accipiter trinotatus,Accipiter trinotatus,ACCIPITRIFORMES,Accipitridae,146,1.618610846,11.4510743,Accipiter trinotatus,0,Accipiter trinotatus,Listed,0,0
Accipiter trivirgatus,Accipiter trivirgatus,ACCIPITRIFORMES,Accipitridae,265.04,2.022527939,14.08696097,Accipiter trivirgatus,1,Accipiter trivirgatus,Listed,1,0
Accipiter virgatus,Accipiter virgatus,ACCIPITRIFORMES,Accipitridae,116.99,1.532810942,11.46033107,Accipiter virgatus,1,Accipiter virgatus,Listed,1,0
Rhyticeros cassidix,Aceros cassidix,BUCEROTIFORMES,Bucerotidae,2360,3.125983933,23.21371308,Rhyticeros cassidix,1,Aceros cassidix,Listed,1,1
Berenicornis comatus,Aceros comatus,BUCEROTIFORMES,Bucerotidae,1470,2.880385912,20.54235232,Berenicornis comatus,1,Berenicornis comatus,Listed,1,1
Rhabdotorrhinus corrugatus,Aceros corrugatus,BUCEROTIFORMES,Bucerotidae,1590,2.892026958,21.35641595,Rhabdotorrhinus corrugatus,1,Aceros corrugatus,Listed,1,1
Rhyticeros everetti,Aceros everetti,BUCEROTIFORMES,Bucerotidae,1748.8,2.832953433,21.9144406,Rhyticeros everetti,1,Rhyticeros everetti,Listed,0,0
Rhabdotorrhinus leucocephalus,Aceros leucocephalus,BUCEROTIFORMES,Bucerotidae,1086,2.788721907,20.95165796,Rhabdotorrhinus leucocephalus,1,Aceros leucocephalus,Listed,1,0
Rhyticeros narcondami,Aceros narcondami,BUCEROTIFORMES,Bucerotidae,697.17,2.555577017,19.65655998,Rhyticeros narcondami,1,Rhyticeros narcondami,Listed,0,0
Aceros nipalensis,Aceros nipalensis,BUCEROTIFORMES,Bucerotidae,2385,3.384695981,26.65872985,Aceros nipalensis,1,Aceros nipalensis,Listed,0,0
Rhyticeros plicatus,Aceros plicatus,BUCEROTIFORMES,Bucerotidae,1703.76,3.167709463,23.25138301,Rhyticeros plicatus,1,Rhyticeros plicatus,Listed,1,1
Rhyticeros subruficollis,Aceros subruficollis,BUCEROTIFORMES,Bucerotidae,2042,3.158066532,24.26867196,Rhyticeros subruficollis,1,Rhyticeros subruficollis,Listed,0,0
Rhyticeros undulatus,Aceros undulatus,BUCEROTIFORMES,Bucerotidae,2214.55,3.208933443,24.25305104,Rhyticeros undulatus,1,Rhyticeros undulatus,Listed,1,1
Rhabdotorrhinus waldeni,Aceros waldeni,BUCEROTIFORMES,Bucerotidae,1748.8,2.946767974,22.673893,Rhabdotorrhinus waldeni,1,Aceros waldeni,Listed,1,0
Achaetops pycnopygius,Achaetops pycnopygius,PASSERIFORMES,Macrosphenidae,28.3,1.297259086,9.087150725,Achaetops pycnopygius,0,Achaetops pycnopygius,Not Listed,0,0
Acridotheres albocinctus,Acridotheres albocinctus,PASSERIFORMES,Sturnidae,93.56,1.079797463,9.652239538,Acridotheres albocinctus,0,Acridotheres albocinctus,Not Listed,0,0
Acridotheres cinereus,Acridotheres cinereus,PASSERIFORMES,Sturnidae,93.56,1.074873229,8.275000314,Acridotheres cinereus,1,Acridotheres cinereus,Not Listed,0,0
Acridotheres cristatellus,Acridotheres cristatellus,PASSERIFORMES,Sturnidae,116.31,1.003493687,13,Acridotheres cristatellus,1,Acridotheres cristatellus,Not Listed,0,0
Acridotheres fuscus,Acridotheres fuscus,PASSERIFORMES,Sturnidae,82.8,1.014086522,9.123868485,Acridotheres fuscus,1,Acridotheres fuscus,Not Listed,0,0
Acridotheres ginginianus,Acridotheres ginginianus,PASSERIFORMES,Sturnidae,72,0.913035105,8.55302617,Acridotheres ginginianus,1,Acridotheres ginginianus,Not Listed,0,0
Acridotheres tristis,Acridotheres tristis,PASSERIFORMES,Sturnidae,116.43,1.12732746,12.2,Acridotheres tristis,1,Acridotheres tristis,Not Listed,0,0
Acrobatornis fonsecai,Acrobatornis fonsecai,PASSERIFORMES,Furnariidae,13.7,1.025885841,7.556301524,Acrobatornis fonsecai,0,Acrobatornis fonsecai,Not Listed,0,0
Acrocephalus aedon,Acrocephalus aedon,PASSERIFORMES,Acrocephalidae,22.4,1.082580047,9.056654346,HAS ONE,0,Acrocephalus aedon,Not Listed,0,0
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,PASSERIFORMES,Acrocephalidae,25,1.170029691,9.682562645,Acrocephalus aequinoctialis,1,Acrocephalus aequinoctialis,Not Listed,0,0
Acrocephalus agricola,Acrocephalus agricola,PASSERIFORMES,Acrocephalidae,9.6,1,9.330473744,Acrocephalus agricola,0,Acrocephalus agricola,Not Listed,0,0
Acrocephalus atyphus,Acrocephalus atyphus,PASSERIFORMES,Acrocephalidae,31.21,1.221155854,10.48164992,Acrocephalus atyphus,0,Acrocephalus atyphus,Not Listed,0,0
Acrocephalus australis,Acrocephalus australis,PASSERIFORMES,Acrocephalidae,17.7,1.207347702,10.61101386,Acrocephalus australis,0,Acrocephalus australis,Not Listed,0,0
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,PASSERIFORMES,Acrocephalidae,8.67,0.91566483,8.81663019,Acrocephalus bistrigiceps,1,Acrocephalus bistrigiceps,Not Listed,0,0
Acrocephalus brevipennis,Acrocephalus brevipennis,PASSERIFORMES,Acrocephalidae,16,1.183570937,10.16491261,Acrocephalus brevipennis,1,Acrocephalus brevipennis,Not Listed,0,0
Acrocephalus concinens,Acrocephalus concinens,PASSERIFORMES,Acrocephalidae,8.3,0.907998763,8.520135542,Acrocephalus concinens,0,Acrocephalus concinens,Not Listed,0,0
Acrocephalus dumetorum,Acrocephalus dumetorum,PASSERIFORMES,Acrocephalidae,11.2,1,9.929599906,Acrocephalus dumetorum,1,Acrocephalus dumetorum,Not Listed,0,0
Acrocephalus familiaris,Acrocephalus familiaris,PASSERIFORMES,Acrocephalidae,18.3,1.101738548,9.632088503,Acrocephalus familiaris,0,Acrocephalus familiaris,Not Listed,0,0
Acrocephalus gracilirostris,Acrocephalus gracilirostris,PASSERIFORMES,Acrocephalidae,14.4,1.27120303,10.94737251,Acrocephalus gracilirostris,0,Acrocephalus gracilirostris,Not Listed,0,0
Acrocephalus griseldis,Acrocephalus griseldis,PASSERIFORMES,Acrocephalidae,16.7,1.03900572,10,Acrocephalus griseldis,0,Acrocephalus griseldis,Not Listed,0,0
Acrocephalus kerearako,Acrocephalus kerearako,PASSERIFORMES,Acrocephalidae,22.5,1.100462483,9.972167708,Acrocephalus kerearako,0,Acrocephalus kerearako,Not Listed,0,0
Acrocephalus melanopogon,Acrocephalus melanopogon,PASSERIFORMES,Acrocephalidae,10.9,1,9.83,Acrocephalus melanopogon,1,Acrocephalus melanopogon,Not Listed,0,0
Acrocephalus newtoni,Acrocephalus newtoni,PASSERIFORMES,Acrocephalidae,17,1.1522978,10.177173,Acrocephalus newtoni,0,Acrocephalus newtoni,Not Listed,0,0
Acrocephalus orinus,Acrocephalus orinus,PASSERIFORMES,Acrocephalidae,24.2,1.116022981,10.52437903,Acrocephalus orinus,0,Acrocephalus orinus,Not Listed,0,0
Acrocephalus paludicola,Acrocephalus paludicola,PASSERIFORMES,Acrocephalidae,11.6,1,9.627352351,Acrocephalus paludicola,1,Acrocephalus paludicola,Not Listed,0,0
Acrocephalus palustris,Acrocephalus palustris,PASSERIFORMES,Acrocephalidae,11.5,1,10.13126092,Acrocephalus palustris,0,Acrocephalus palustris,Not Listed,0,0
Acrocephalus rehsei,Acrocephalus rehsei,PASSERIFORMES,Acrocephalidae,20.06,1.121414642,9.255327104,Acrocephalus rehsei,0,Acrocephalus rehsei,Not Listed,0,0
Acrocephalus rimatarae,Acrocephalus rimatarae,PASSERIFORMES,Acrocephalidae,26.5,1.135727644,10.3197215,HAS ONE,0,Acrocephalus rimatarae,Not Listed,0,0
Acrocephalus rodericanus,Acrocephalus rodericanus,PASSERIFORMES,Acrocephalidae,11.8,1.012377181,8.790013911,Acrocephalus rodericanus,1,Acrocephalus rodericanus,Listed,0,0
Acrocephalus rufescens,Acrocephalus rufescens,PASSERIFORMES,Acrocephalidae,22.72,1.268211015,10.3174462,Acrocephalus rufescens,1,Acrocephalus rufescens,Not Listed,0,0
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,PASSERIFORMES,Acrocephalidae,11.83,1,10.0915,Acrocephalus schoenobaenus,0,Acrocephalus schoenobaenus,Not Listed,0,0
Acrocephalus sechellensis,Acrocephalus sechellensis,PASSERIFORMES,Acrocephalidae,15.87,1.276814713,17,Acrocephalus sechellensis,0,Acrocephalus sechellensis,Not Listed,0,0
Acrocephalus sorghophilus,Acrocephalus sorghophilus,PASSERIFORMES,Acrocephalidae,14.18,1.006754173,10.24209091,Acrocephalus sorghophilus,1,Acrocephalus sorghophilus,Not Listed,0,0
Acrocephalus stentoreus,Acrocephalus stentoreus,PASSERIFORMES,Acrocephalidae,24.2,1.099833882,10.6,Acrocephalus stentoreus,1,Acrocephalus stentoreus,Not Listed,0,0
Acrocephalus syrinx,Acrocephalus syrinx,PASSERIFORMES,Acrocephalidae,20.06,1.121414642,9.400071051,Acrocephalus syrinx,0,Acrocephalus syrinx,Not Listed,0,0
Acrocephalus taiti,Acrocephalus taiti,PASSERIFORMES,Acrocephalidae,24.25,1.163179813,10.19236886,Acrocephalus taiti,0,Acrocephalus taiti,Not Listed,0,0
Acrocephalus tangorum,Acrocephalus tangorum,PASSERIFORMES,Acrocephalidae,16.39,1.035259587,10.08254598,Acrocephalus tangorum,0,Acrocephalus tangorum,Not Listed,0,0
Acrocephalus vaughani,Acrocephalus vaughani,PASSERIFORMES,Acrocephalidae,24.37,1.164287182,10.22017515,Acrocephalus vaughani,0,Acrocephalus vaughani,Not Listed,0,0
Acropternis orthonyx,Acropternis orthonyx,PASSERIFORMES,Rhinocryptidae,89.86,1.47422322,10.4108106,Acropternis orthonyx,0,Acropternis orthonyx,Not Listed,0,0
Acryllium vulturinum,Acryllium vulturinum,GALLIFORMES,Numididae,1330,1.055792944,11.50462482,Acryllium vulturinum,1,Acryllium vulturinum,Not Listed,0,0
Actenoides concretus,Actenoides concretus,CORACIIFORMES,Alcedinidae,73.47,1.627250774,20,Actenoides concretus,0,Actenoides concretus,Not Listed,0,0
Actenoides hombroni,Actenoides hombroni,CORACIIFORMES,Alcedinidae,117,1.551166996,15.3434155,Actenoides hombroni,0,Actenoides hombroni,Not Listed,0,0
Actenoides lindsayi,Actenoides lindsayi,CORACIIFORMES,Alcedinidae,92.84,1.483523963,14.93341558,Actenoides lindsayi,0,Actenoides lindsayi,Not Listed,0,0
Actinodura egertoni,Actinodura egertoni,PASSERIFORMES,Leiotrichidae,36,1.258874532,9.291527634,Actinodura egertoni,0,Actinodura egertoni,Not Listed,0,0
Actinodura morrisoniana,Actinodura morrisoniana,PASSERIFORMES,Leiotrichidae,23.97,1.142700108,8.58002264,HAS ONE,0,Actinodura morrisoniana,Not Listed,0,0
Actinodura nipalensis,Actinodura nipalensis,PASSERIFORMES,Leiotrichidae,43.87,1.47008718,10.52672229,HAS ONE,0,Actinodura nipalensis,Not Listed,0,0
Actinodura sodangorum,Actinodura sodangorum,PASSERIFORMES,Leiotrichidae,38.1,1.249478465,9.169568267,Actinodura sodangorum,1,Actinodura sodangorum,Not Listed,0,0
Actinodura souliei,Actinodura souliei,PASSERIFORMES,Leiotrichidae,39.34,1.257216583,9.47580689,HAS ONE,0,Actinodura souliei,Not Listed,0,0
Actinodura waldeni,Actinodura waldeni,PASSERIFORMES,Leiotrichidae,46.73,1.460275144,11.55632893,HAS ONE,0,Actinodura waldeni,Not Listed,0,0
Actitis hypoleucos,Actitis hypoleucos,CHARADRIIFORMES,Scolopacidae,48,2,14.5,Actitis hypoleucos,1,Actitis hypoleucos,Not Listed,0,0
Actitis macularius,Actitis macularius,CHARADRIIFORMES,Scolopacidae,40.4,1.650090836,12,Actitis macularius,1,Actitis macularius,Not Listed,0,0
Actophilornis africanus,Actophilornis africanus,CHARADRIIFORMES,Jacanidae,189.09,1.841177615,12.62113065,Actophilornis africanus,1,Actophilornis africanus,Not Listed,0,0
Actophilornis albinucha,Actophilornis albinucha,CHARADRIIFORMES,Jacanidae,239,1.758329244,12.58052764,Actophilornis albinucha,0,Actophilornis albinucha,Not Listed,0,0
Adelomyia melanogenys,Adelomyia melanogenys,CAPRIMULGIFORMES,Trochilidae,4.93,0.963590657,7.302702953,Adelomyia melanogenys,0,Adelomyia melanogenys,Listed,1,1
Aechmophorus clarkii,Aechmophorus clarkii,PODICIPEDIFORMES,Podicipedidae,1090.93,1.56646721,17.35454365,Aechmophorus clarkii,0,Aechmophorus clarkii,Not Listed,0,0
Aechmophorus occidentalis,Aechmophorus occidentalis,PODICIPEDIFORMES,Podicipedidae,1136.95,2,17.70254684,Aechmophorus occidentalis,0,Aechmophorus occidentalis,Not Listed,0,0
Aegithalos fuliginosus,Aegithalos fuliginosus,PASSERIFORMES,Aegithalidae,5.65,0.914418651,8.442796911,Aegithalos fuliginosus,0,Aegithalos fuliginosus,Not Listed,0,0
Aegithalos leucogenys,Aegithalos leucogenys,PASSERIFORMES,Aegithalidae,6.7,1.058647602,7.760577977,Aegithalos leucogenys,0,Aegithalos leucogenys,Not Listed,0,0
Aegithalos niveogularis,Aegithalos niveogularis,PASSERIFORMES,Aegithalidae,7.8,1.323836896,9.08232216,Aegithalos niveogularis,0,Aegithalos niveogularis,Not Listed,0,0
Aegithina lafresnayei,Aegithina lafresnayei,PASSERIFORMES,Aegithinidae,11.96,1.053248562,7.636138569,Aegithina lafresnayei,0,Aegithina lafresnayei,Not Listed,0,0
Aegithina nigrolutea,Aegithina nigrolutea,PASSERIFORMES,Aegithinidae,11.83,1.092475436,8.091029331,Aegithina nigrolutea,0,Aegithina nigrolutea,Not Listed,0,0
Aegithina tiphia,Aegithina tiphia,PASSERIFORMES,Aegithinidae,12,1.053941495,8,Aegithina tiphia,1,Aegithina tiphia,Not Listed,0,0
Aegithina viridissima,Aegithina viridissima,PASSERIFORMES,Aegithinidae,13.4,1.163825325,7.797501771,Aegithina viridissima,0,Aegithina viridissima,Not Listed,0,0
Aegolius acadicus,Aegolius acadicus,STRIGIFORMES,Strigidae,100.69,1.155979991,11.44488679,Aegolius acadicus,1,Aegolius acadicus,Listed,1,1
Aegolius funereus,Aegolius funereus,STRIGIFORMES,Strigidae,137.18,1.5,15,Aegolius funereus,1,Aegolius funereus,Listed,1,1
Aegolius harrisii,Aegolius harrisii,STRIGIFORMES,Strigidae,120,1.406852927,12.8711739,Aegolius harrisii,0,Aegolius harrisii,Listed,1,0
Aegolius ridgwayi,Aegolius ridgwayi,STRIGIFORMES,Strigidae,80,1.148388468,9.974882754,Aegolius ridgwayi,0,Aegolius ridgwayi,Listed,0,0
Aegotheles albertisi,Aegotheles albertisi,CAPRIMULGIFORMES,Aegothelidae,35.2,1.230554525,8.829360737,Aegotheles albertisi,0,Aegotheles albertisi,Not Listed,0,0
Aegotheles archboldi,Aegotheles archboldi,CAPRIMULGIFORMES,Aegothelidae,30.6,1.197777883,8.548624742,Aegotheles archboldi,0,Aegotheles archboldi,Not Listed,0,0
Aegotheles crinifrons,Aegotheles crinifrons,CAPRIMULGIFORMES,Aegothelidae,136,1.596822817,11.23374724,Aegotheles crinifrons,0,Aegotheles crinifrons,Not Listed,0,0
Aegotheles cristatus,Aegotheles cristatus,CAPRIMULGIFORMES,Aegothelidae,42.78,1.302397426,9.589730011,Aegotheles cristatus,1,Aegotheles cristatus,Not Listed,0,0
Aegotheles insignis,Aegotheles insignis,CAPRIMULGIFORMES,Aegothelidae,78.5,1.436310096,10.24339242,Aegotheles insignis,0,Aegotheles insignis,Not Listed,0,0
Aegotheles savesi,Aegotheles savesi,CAPRIMULGIFORMES,Aegothelidae,59.38,1.361064433,10.13777644,Aegotheles savesi,0,Aegotheles savesi,Not Listed,0,0
Aegotheles tatei,Aegotheles tatei,CAPRIMULGIFORMES,Aegothelidae,52,1.326685464,9.516599666,Aegotheles tatei,0,Aegotheles tatei,Not Listed,0,0
Aegotheles wallacii,Aegotheles wallacii,CAPRIMULGIFORMES,Aegothelidae,50.73,1.320376854,9.412109021,Aegotheles wallacii,0,Aegotheles wallacii,Not Listed,0,0
Aegypius monachus,Aegypius monachus,ACCIPITRIFORMES,Accipitridae,9320.55,5,34.08755765,Aegypius monachus,1,Aegypius monachus,Listed,1,1
