species,phyloname.x,Order.x,Family.x,Bodymass,Age_at_first_breeding,Max_longevity,Name_update.helps.later.,Traded,Cites_name,Listing,Trade_since_2000,Trade_since_2015
Melignomon zenkeri,Melignomon zenkeri,PICIFORMES,Indicatoridae,23.6,1.093525659,8.098096487,Melignomon zenkeri,0,Melignomon zenkeri,Not Listed,0,0
Melilestes megarhynchus,Melilestes megarhynchus,PASSERIFORMES,Meliphagidae,43.76,1.248923419,8.549068326,Melilestes megarhynchus,0,Melilestes megarhynchus,Not Listed,0,0
Meliphaga albonotata,Meliphaga albonotata,PASSERIFORMES,Meliphagidae,22.4,1.349587061,10.08352435,Microptilotis albonotatus,0,Meliphaga albonotata,Not Listed,0,0
Meliphaga analoga,Meliphaga analoga,PASSERIFORMES,Meliphagidae,21.57,1.089710945,8.637065391,Microptilotis analogus,0,Meliphaga analoga,Not Listed,0,0
Meliphaga aruensis,Meliphaga aruensis,PASSERIFORMES,Meliphagidae,26.2,1.391892847,13.38859452,Meliphaga aruensis,1,Meliphaga aruensis,Not Listed,0,0
Meliphaga flavirictus,Meliphaga flavirictus,PASSERIFORMES,Meliphagidae,18.5,1.178710322,9.15529211,Microptilotis flavirictus,0,Meliphaga flavirictus,Not Listed,0,0
Meliphaga lewinii,Meliphaga lewinii,PASSERIFORMES,Meliphagidae,33.58,1.301333433,15.9,Meliphaga lewinii,1,Meliphaga lewinii,Not Listed,0,0
Meliphaga mimikae,Meliphaga mimikae,PASSERIFORMES,Meliphagidae,26.9,1.266916249,9.877189996,Microptilotis mimikae,0,Meliphaga mimikae,Not Listed,0,0
Meliphaga montana,Meliphaga montana,PASSERIFORMES,Meliphagidae,28.03,1.146155233,9.049271807,Microptilotis montanus,0,Meliphaga montana,Not Listed,0,0
Meliphaga notata,Meliphaga notata,PASSERIFORMES,Meliphagidae,26.44,1.255740479,15.9,Meliphaga notata,0,Meliphaga notata,Not Listed,0,0
Meliphaga orientalis,Meliphaga orientalis,PASSERIFORMES,Meliphagidae,18.09,1.173628954,9.123507422,Microptilotis orientalis,0,Meliphaga orientalis,Not Listed,0,0
Meliphaga reticulata,Meliphaga reticulata,PASSERIFORMES,Meliphagidae,23.56,1.234948168,9.695029077,Microptilotis reticulatus,0,Meliphaga reticulata,Not Listed,0,0
Meliphaga vicina,Meliphaga vicina,PASSERIFORMES,Meliphagidae,23.56,1.234948168,9.750340706,Microptilotis vicina,0,Meliphaga vicina,Not Listed,0,0
Melipotes ater,Melipotes ater,PASSERIFORMES,Meliphagidae,51.5,1.435885891,11.14838721,Melipotes ater,0,Melipotes ater,Not Listed,0,0
Melipotes gymnops,Melipotes gymnops,PASSERIFORMES,Meliphagidae,50,1.427727363,10.94824871,Melipotes gymnops,0,Melipotes gymnops,Not Listed,0,0
Melithreptus affinis,Melithreptus affinis,PASSERIFORMES,Meliphagidae,15,1.10129965,8.83274768,Melithreptus affinis,0,Melithreptus affinis,Not Listed,0,0
Melithreptus albogularis,Melithreptus albogularis,PASSERIFORMES,Meliphagidae,11.03,1.120050279,10.52876712,Melithreptus albogularis,1,Melithreptus albogularis,Not Listed,0,0
Melithreptus brevirostris,Melithreptus brevirostris,PASSERIFORMES,Meliphagidae,12.6,1.043948802,13.5,Melithreptus brevirostris,0,Melithreptus brevirostris,Not Listed,0,0
Melithreptus validirostris,Melithreptus validirostris,PASSERIFORMES,Meliphagidae,24.8,1.21595465,9.731867344,Melithreptus validirostris,0,Melithreptus validirostris,Not Listed,0,0
Melitograis gilolensis,Melitograis gilolensis,PASSERIFORMES,Meliphagidae,54,1.300585699,10.15802211,Melitograis gilolensis,0,Melitograis gilolensis,Not Listed,0,0
Mellisuga helenae,Mellisuga helenae,CAPRIMULGIFORMES,Trochilidae,2.2,1.000136911,8.5,Mellisuga helenae,1,Mellisuga helenae,Listed,1,0
